Model,Scenario,Region,Variable,Unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,Column263
PRIMAPhist,historical,World,Emissions|CO2|Land|+|Land-use Change,Mt CO2/yr,1841.1506,1812.3654,2017.6591,2010.1041,2003.122,1992.1627,2013.9934,2033.529,2050.6387,2078.6364,2095.152,2136.1128,1915.6992,1916.2885,1917.5031,1920.2744,1920.7473,1915.1232,1909.6998,1903.591,1899.5211,1973.2337,2286.0977,2326.1612,2352.8393,2381.5306,2409.6565,2434.0002,2459.2175,2484.81,2507.4588,2645.7724,2468.8258,2494.5692,2506.334,2528.9236,2532.7641,2532.4478,2530.8362,2529.0019,2516.6254,2504.1293,2557.2711,2560.0653,2618.1619,2637.5352,2646.5226,2655.2141,2664.0808,2664.31,2671.4198,2914.2125,2926.4625,3033.3114,3130.4656,3228.9743,3341.732,3373.9758,3408.6281,3434.3069,3456.4768,3243.1265,3108.5892,2996.1881,2956.3736,2913.2402,2920.9349,2931.67,2944.1853,2964.856,2971.7855,3147.7744,3118.6098,3147.3209,3169.8745,3181.5284,3197.6138,3341.8339,3354.4702,3453.4482,3737.6037,3776.5085,3417.9223,3405.8301,3361.8798,3356.3858,3386.0836,3302.5261,3313.1814,3307.11,3259.5211,3195.7002,3273.5691,3253.6073,3276.5101,3282.0826,3589.1184,3700.1915,3729.1499,3767.6745,3814.5223,4613.4165,4714.1896,4703.1545,4900.5059,5063.8534,5276.5555,5389.6299,5575.6454,5123.4411,5089.1921,5366.7111,5359.5909,5411.6226,5460.0156,5517.4767,5647.83,5674.804,5415.4759,5434.6972,5277.6363,4738.2497,4638.7746,4584.9362,4596.2691,4567.0472,4810.0967,4819.7898,4814.8448,4709.4948,4547.5825,4634.5438,5369.2735,5542.6299,5719.5177,5807.158,5870.6562,5913.5975,6005.7243,6037.6881,6029.1988,5690.3956,5297.0386,5259.2157,5212.402,5142.2318,5025.4468,4904.0958,4869.009,4710.0839,4554.8147,4082.2625,4586.2085,4644.6904,4669.7173,4396.7309,2979.2044,2697.4332,2765.5249,2898.6521,2622.3063,2622.4945,2665.5747,2649.0729,2741.5547,2671.1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMAPhist,historical,World,Emissions|N2O|Land|+|Agriculture,Mt N2O/yr,0.3482,0.3558,0.3627,0.3696,0.3762,0.3813,0.387,0.3911,0.3946,0.3975,0.3985,0.3999,0.4002,0.4005,0.4008,0.401,0.4011,0.4013,0.4016,0.402,0.4035,0.4104,0.4265,0.4524,0.4821,0.5161,0.5508,0.583,0.6125,0.6346,0.6484,0.6556,0.6623,0.6672,0.6725,0.6767,0.6803,0.6841,0.688,0.694,0.7197,0.7306,0.7392,0.7503,0.7602,0.769,0.7795,0.7883,0.7956,0.8025,0.8083,0.8145,0.8202,0.8279,0.8346,0.8421,0.8498,0.8581,0.8662,0.874,0.8802,0.8922,0.9082,0.931,0.9556,0.984,1.013,1.0407,1.0669,1.0903,1.1075,1.1233,1.139,1.155,1.171,1.1853,1.1985,1.2113,1.2224,1.2318,1.2391,1.242,1.2425,1.2402,1.2353,1.2305,1.2262,1.2223,1.2209,1.223,1.2282,1.2817,1.4144,1.6073,1.8405,2.0975,2.3576,2.5984,2.8086,2.9641,3.047,3.0833,3.1115,3.1349,3.1527,3.1722,3.1914,3.2141,3.243,3.2794,3.3256,3.5456,3.6403,3.7143,3.7926,3.9136,4.0634,4.1812,4.266,4.3313,4.4352,4.5554,4.6515,4.8057,4.844,5.0338,5.0947,5.1654,5.3086,5.3897,5.5119,5.5329,5.5704,5.6996,5.8194,5.8195,5.8814,5.9637,5.9999,6.0589,5.9846,5.9162,5.8596,5.7828,5.9083,6.0467,6.1126,6.0961,6.2431,6.1656,6.1439,6.2188,6.1904,6.3487,6.5453,6.5124,6.6559,6.8464,6.996,7.0875,7.2831,7.3399,7.4237,7.474,7.5315,7.7197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMAPhist,historical,World,Emissions|N2O|Land|+|Land-use Change,Mt N2O/yr,0.0667,0.0692,0.0718,0.0744,0.0769,0.0795,0.082,0.0846,0.0872,0.0897,0.0924,0.0949,0.0975,0.1,0.1026,0.1052,0.1078,0.1102,0.1129,0.1154,0.118,0.1206,0.1231,0.1257,0.1282,0.1309,0.1334,0.136,0.1386,0.1411,0.1436,0.1463,0.1488,0.1515,0.1539,0.1565,0.1591,0.1617,0.1643,0.1669,0.1711,0.1731,0.1753,0.1775,0.1797,0.182,0.1843,0.1866,0.1891,0.1915,0.1941,0.1967,0.1992,0.2019,0.2047,0.2077,0.2105,0.2133,0.2163,0.2194,0.2225,0.2257,0.2288,0.2321,0.2354,0.2389,0.2423,0.2458,0.249,0.2524,0.2557,0.259,0.2622,0.2655,0.2688,0.2721,0.2754,0.2786,0.2818,0.2848,0.2879,0.2909,0.294,0.2972,0.3003,0.3033,0.3064,0.3094,0.3124,0.3151,0.3178,0.3203,0.3227,0.3249,0.3272,0.3294,0.3317,0.3343,0.3371,0.34,0.3431,0.3471,0.3519,0.3574,0.3636,0.3701,0.377,0.3842,0.3914,0.3988,0.405,0.4152,0.428,0.4445,0.463,0.4816,0.4999,0.5167,0.5299,0.5384,0.658,0.4678,0.6248,0.5516,0.4531,0.4908,0.5474,0.5912,0.5733,0.6652,0.6917,0.62,0.8074,0.7615,0.5503,0.5597,0.627,0.8019,0.6037,0.6293,0.319,0.3333,0.3353,0.3348,0.3452,0.3918,0.3913,0.4056,0.4624,0.4343,0.4141,0.3585,0.4377,0.4667,0.5151,0.4741,0.4827,0.4374,0.4076,0.3967,0.355,0.3586,0.3484,0.2943,0.3313,0.3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Productivity|Yield|+|Crops,t DM/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1295,,,,,1.2976,,,,,1.441,,,,,1.6021,,,,,1.9734,,,,,2.1054,,,,,2.1291,,,,,2.3325,,,,,2.5355,,,,,2.8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Productivity|Yield|+|Forage,t DM/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5495,,,,,1.7917,,,,,2.0949,,,,,2.5111,,,,,4.0543,,,,,3.6545,,,,,2.9789,,,,,3.1667,,,,,3.4597,,,,,3.2336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Productivity|Yield|+|Pasture,t DM/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1313,,,,,1.1595,,,,,1.1864,,,,,1.1934,,,,,1.1842,,,,,1.1856,,,,,1.2231,,,,,1.2989,,,,,1.4181,,,,,1.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBGEM,historical,World,Prices|Agriculture|Fish,US$05/tDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2193.6209,2547.6127,2358.3446,1835.0382,2417.374,2038.0395,1545.7871,1538.3058,1678.9016,2238.5881,1689.4924,1642.3251,1921.6524,1900.8691,1391.9298,1480.603,1773.9509,2140.8625,2324.306,2653.5771,1604.3445,1710.0307,2093.5365,2637.3165,2526.7911,2512.8135,2745.4795,4272.5117,4063.7938,3629.7116,4201.2954,5558.9194,4563.5112,4658.6389,5245.498,5211.1103,5256.4936,5275.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBGEM,historical,World,Prices|Agriculture|Poultry meat,US$05/tDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395.2489,3465.2703,3481.1238,3640.0381,3694.8845,3796.3464,3801.2864,3856.5478,4013.2334,3975.8791,3917.6444,3903.3223,3842.9706,3709.4985,3215.5329,3007.8743,3123.2107,3085.6857,2831.5264,2704.4573,2513.7485,2566.6907,2597.0681,2710.584,3137.1967,3040.3454,2919.4828,2614.7017,2710.9393,2990.0713,2834.4803,2792.0118,2744.3121,3023.9219,3152.2916,2881.7219,3299.2381,3388.8112,3669.3994,3552.2941,3567.4577,3966.9124,3979.343,3970.4037,4251.2599,4023.1441,3675.1462,3911.2556,3928.3803,4238.0152,4097.8303,3758.8722,4085.8026,4518.1444,4866.6281,5607.7914,5678.1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBGEM,historical,World,Prices|Agriculture|Rice,US$05/tDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.3275,153.6117,171.0511,162.2813,153.0167,149.8454,176.6514,228.3816,222.5298,194.4287,137.1207,115.1337,122.4946,236.282,346.268,205.8382,139.7673,138.964,163.8747,133.054,158.7055,177.1451,108.3917,104.9374,97.1442,83.1492,144.8645,187.4387,156.4147,163.8532,130.173,219.0438,203.7064,173.8303,204.6153,241.6809,239.7139,226.1349,238.3175,205.553,164.3011,151.3896,172.1677,168.0165,265.1473,221.1062,224.6242,239.0656,277.5366,349.9388,439.3335,459.0039,472.5806,423.8298,381.9921,386.3198,408.0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBGEM,historical,World,Prices|Agriculture|Ruminant meat,US$05/tDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145.5762,3765.103,3870.5204,3678.9281,4578.5113,4754.5635,5317.4924,5368.0073,5644.4339,6037.2214,6053.5478,9455.6326,10309.6519,11867.281,8604.1933,7228.9395,8013.1002,7554.227,8781.3325,9548.2388,9315.7626,8601.6197,8106.3681,7636.0477,7492.2664,7218.4792,6663.0605,6514.2271,6627.519,6616.3586,6802.9033,6569.6661,6593.034,6895.8416,6830.465,5307.4758,6070.0071,6581.9463,5869.0042,5953.7963,6162.6985,7092.9536,7699.3388,7934.9345,9011.622,8667.5953,7887.6024,7590.1206,8091.8812,7721.5753,9336.9205,10361.837,10006.22,9080.0255,11308.5172,10643.9562,9909.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBGEM,historical,World,Prices|Agriculture|Temperate cereals,US$05/tDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.927,183.0324,193.4042,198.8821,205.1617,187.2793,191.9078,192.9809,186.4505,169.4477,154.8288,157.7587,160.4863,273.2195,300.7535,232.4578,199.3108,145.6602,149.1186,233.2884,233.5333,231.5694,206.1547,216.6122,222.1386,207.7179,160.5706,137.2378,166.9717,190.2659,151.218,145.0905,165.17,155.9096,166.8333,178.0438,206.4251,169.0438,147.5502,134.925,137.254,156.4729,185.655,177.772,172.3164,165.3148,190.029,252.8759,304.1334,217.1239,230.7065,280.9949,192.3417,180.0292,154.4497,154.7609,133.5444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
